CC_EE,GADM_LVL,GADM_CODE
BR_AC,1,BRA.1_1
BR_AL,1,BRA.2_1
BR_AP,1,BRA.3_1
BR_AM,1,BRA.4_1
BR_BA,1,BRA.5_1
BR_CE,1,BRA.6_1
BR_DF,1,BRA.7_1
BR_ES,1,BRA.8_1
BR_GO,1,BRA.9_1
BR_MA,1,BRA.10_1
BR_MT,1,BRA.12_1
BR_MS,1,BRA.11_1
BR_MG,1,BRA.13_1
BR_PA,1,BRA.14_1
BR_PB,1,BRA.15_1
BR_PR,1,BRA.16_1
BR_PE,1,BRA.17_1
BR_PI,1,BRA.18_1
BR_RJ,1,BRA.19_1
BR_RN,1,BRA.20_1
BR_RS,1,BRA.21_1
BR_RO,1,BRA.22_1
BR_RR,1,BRA.23_1
BR_SC,1,BRA.24_1
BR_SP,1,BRA.25_1
BR_SE,1,BRA.26_1
BR_TO,1,BRA.27_1
DE_BW,1,DEU.1_1
DE_BY,1,DEU.2_1
DE_BE,1,DEU.3_1
DE_BR,1,DEU.4_1
DE_HB,1,DEU.5_1
DE_HH,1,DEU.6_1
DE_HE,1,DEU.7_1
DE_MV,1,DEU.8_1
DE_NI,1,DEU.9_1
DE_NW,1,DEU.10_1
DE_RP,1,DEU.11_1
DE_SL,1,DEU.12_1
DE_SN,1,DEU.14_1
DE_ST,1,DEU.13_1
DE_SH,1,DEU.15_1
DE_TH,1,DEU.16_1
FR_AR,1,FRA.1_1
FR_BF,1,FRA.2_1
FR_BT,1,FRA.3_1
FR_CN,1,FRA.4_1
FR_CE,1,FRA.5_1
FR_AO,1,FRA.6_1
FR_NC,1,FRA.7_1
FR_IF,1,FRA.8_1
FR_ND,1,FRA.9_1
FR_AC,1,FRA.10_1
FR_LP,1,FRA.11_1
FR_PL,1,FRA.12_1
FR_PR,1,FRA.13_1
IN_AN,1,IND.1_1
IN_AP,1,IND.2_1
IN_AR,1,IND.3_1
IN_AS,1,IND.4_1
IN_BR,1,IND.5_1
IN_CH,1,IND.6_1
IN_CT,1,IND.7_1
IN_DN,1,IND.8_1
IN_DD,1,IND.9_1
IN_GA,1,IND.10_1
IN_GJ,1,IND.11_1
IN_HR,1,IND.12_1
IN_HP,1,IND.13_1
IN_JH,1,IND.15_1
IN_KA,1,IND.16_1
IN_KL,1,IND.17_1
IN_LD,1,IND.18_1
IN_MP,1,IND.19_1
IN_MH,1,IND.20_1
IN_MN,1,IND.21_1
IN_ML,1,IND.22_1
IN_MZ,1,IND.23_1
IN_NL,1,IND.24_1
IN_DL,1,IND.25_1
IN_OR,1,IND.26_1
IN_PY,1,IND.27_1
IN_PB,1,IND.28_1
IN_RJ,1,IND.29_1
IN_SK,1,IND.30_1
IN_TN,1,IND.31_1
IN_TG,1,IND.32_1
IN_TR,1,IND.33_1
IN_UP,1,IND.34_1
IN_UT,1,IND.35_1
IN_WB,1,IND.36_1
LU_CL,2,LUX.1.1_1
LU_DI,2,LUX.1.2_1
LU_RE,2,LUX.1.3_1
LU_VI,2,LUX.1.4_1
LU_WI,2,LUX.1.5_1
LU_EC,2,LUX.2.1_1
LU_GR,2,LUX.2.2_1
LU_RE,2,LUX.2.3_1
LU_CA,2,LUX.3.1_1
LU_ES,2,LUX.3.2_1
LU_LU,2,LUX.3.3_1
LU_ME,2,LUX.3.4_1
ES_AN,1,ESP.1_1
ES_AR,1,ESP.2_1
ES_CB,1,ESP.3_1
ES_CM,1,ESP.4_1
ES_CL,1,ESP.5_1
ES_CT,1,ESP.6_1
ES_ML,1,ESP.7_1
ES_MD,1,ESP.8_1
ES_NA,1,ESP.9_1
ES_VC,1,ESP.10_1
ES_EX,1,ESP.11_1
ES_GA,1,ESP.12_1
ES_PM,1,ESP.13_1
ES_CN,1,ESP.14_1
ES_LO,1,ESP.15_1
ES_PV,1,ESP.16_1
ES_AS,1,ESP.17_1
ES_MU,1,ESP.18_1
